year_month,depot,monthly
15-12,18133.899999999998,-545.9999999999995
16-01,18389.749999999996,255.84999999999957
16-02,18273.37,-116.38000000000002
16-03,19599.55,1326.1799999999998
16-04,19184.289999999997,-415.2600000000002
16-05,19976.28,791.99
16-06,19497.67,-478.6100000000002
16-07,20734.57,1236.8999999999994
16-08,21327.410000000007,592.8399999999999
16-09,21280.980000000007,-46.429999999999666
16-10,21241.670000000002,-39.31000000000016
16-11,21222.97,-18.700000000000557
16-12,22159.299999999996,936.3299999999998
17-01,22145.039999999997,-14.260000000000325
17-02,22866.43,721.3900000000006
17-03,22771.69,-94.74000000000018
17-04,23335.420000000002,563.73
17-05,23371.34,35.92000000000053
17-06,23458.469999999998,87.13000000000034
17-07,23387.25,-71.22000000000021
17-08,23415.609999999997,28.359999999999374
17-09,23823.709999999995,408.09999999999945
17-10,24143.679999999997,319.97
17-11,24468.669999999995,324.9900000000002
17-12,24170.099999999995,-298.56999999999965
18-01,24382.709999999995,212.61000000000033
18-02,24325.579999999994,-57.13000000000062
18-03,23616.849999999995,-708.7299999999998
18-04,24181.749999999996,564.9000000000023
18-05,24481.800000000003,300.05000000000103
18-06,24259.159999999996,-222.6400000000011
18-07,24589.059999999998,329.8999999999997
18-08,25012.44,423.3800000000009
18-09,24881.72,-130.71999999999937
18-10,24220.700000000004,-661.0200000000001
18-11,25299.19000000001,1078.4900000000007
18-12,22248.810000000005,-3050.379999999999
19-01,25108.260000000006,2859.449999999999
19-02,25774.040000000005,665.7799999999997
19-03,25966.530000000002,192.48999999999896
19-04,27118.93,1152.3999999999992
19-05,26919.99,-198.9399999999998
19-06,28021.81,1101.820000000001
19-07,27510.869999999995,-510.94
19-08,28561.279999999995,1050.4100000000005
19-09,30064.319999999996,1503.0399999999995
19-10,30400.05,335.7299999999993
19-11,31857.519999999997,1457.470000000001
19-12,32364.30999999999,506.78999999999996
20-01,31485.40999999998,-878.8999999999999
20-02,27409.98999999998,-4075.4200000000005
20-03,27409.98999999998,0.0
20-04,31747.149999999983,4337.16
20-05,34249.61999999999,2502.4700000000003
20-06,33969.899999999994,-279.71999999999997
20-07,35571.149999999994,1601.2500000000007
20-08,37131.399999999994,1560.2499999999984
20-09,36722.969999999994,-408.4299999999995
20-10,37018.919999999984,295.94999999999936
20-11,42498.28999999998,5479.369999999997
20-12,42936.32999999998,438.04000000000065
21-01,41824.51999999998,-1111.8099999999995
21-02,41809.05999999999,-15.460000000001116
21-03,43762.02999999999,1952.97
21-04,45957.20999999999,2195.18
21-05,46692.56,735.3500000000001
21-06,46936.54,243.98000000000008
21-07,48879.229999999996,1942.6899999999991
21-08,49374.619999999995,495.3900000000014
21-09,47028.01999999999,-2346.6000000000026
21-10,49082.239999999976,2054.2199999999984
21-11,49128.35999999997,46.120000000000005
21-12,52062.05999999997,2933.6999999999985
22-01,51355.559999999976,-706.5000000000002
22-02,49077.37999999999,-2278.1799999999994
22-03,53089.40999999999,4012.0300000000016
22-04,50931.54999999999,-2157.8600000000006
22-05,54504.579999999994,3573.030000000002
22-06,49545.05,-4959.53
22-07,55038.09000000001,5493.040000000001
22-08,53233.60000000001,-1804.4899999999989
22-09,53233.60000000001,0.0
22-10,59159.05000000002,5925.449999999999
22-11,63106.78000000003,3947.7300000000014
22-12,59880.09000000003,-3226.690000000001
23-01,63926.310000000034,4046.220000000001
23-02,61003.190000000046,-2923.12
23-03,63640.58000000005,2637.3900000000053
23-04,64584.23000000005,943.6500000000018
23-05,60491.39000000005,-4092.8400000000015
23-06,69895.73000000004,9404.339999999998
23-07,72889.41000000003,2993.680000000004
23-08,70157.31000000003,-2732.0999999999995
23-09,68390.40000000002,-1766.9099999999987
23-10,64690.090000000026,-3700.309999999999
23-11,69438.18000000004,4748.09
23-12,74452.02000000002,5013.840000000002
24-01,74539.02,86.9999999999967
24-02,77311.32,2772.300000000003
24-03,82511.08,5199.759999999998
24-04,79848.58,-2662.5000000000036
24-05,83518.01,3669.4300000000003
24-06,84079.44000000002,561.4300000000048
24-07,89222.39000000001,5142.949999999994
24-08,93788.51,4566.120000000001
24-09,95101.39999999998,1312.8899999999994
