Date,Open,High,Low,Close,Adj Close,Volume,next1_Date,next2_Date,next1_Open,next2_Open,sma_200,sma_50,sma_200_pct,Volume_sma_20,atr,rsi,aroon,symbol,date,days,start
2023-09-15,67.76,68.81,65.02,65.84,65.84,8253300.0,2023-09-18,2023-09-19,65.93,66.1,41.08,56.1,0.6288659793814433,3206385.0,3.3566221142162815,65.0,70.0,celh,2023-09-15,25.0,2023-08-10
2023-09-15,37.75,38.47,37.5,38.17,38.17,7124700.0,2023-09-18,2023-09-19,37.47,37.97,19.97,32.7,0.6436213991769546,6076730.0,4.191773644223212,62.0,50.0,vrt,2023-09-15,6.0,2023-09-07
2023-09-15,25.25,26.02,25.19,26.0,26.0,9525300.0,2023-09-18,2023-09-19,26.16,25.95,16.86,22.29,0.6448780487804877,1684525.0,3.115384615384616,67.0,95.0,rely,2023-09-15,7.0,2023-09-06
2023-09-15,10.77,10.92,10.59,10.73,10.73,4544200.0,2023-09-18,2023-09-19,10.86,11.1,7.85,9.46,0.7561521252796422,2150095.0,3.075489282385834,67.0,80.0,hlx,2023-09-15,12.0,2023-08-29
2023-09-15,20.65,20.93,20.52,20.86,20.86,22718600.0,2023-09-18,2023-09-19,20.89,21.29,14.84,18.64,0.7944377267230955,6325050.0,2.732502396931927,67.0,65.0,fti,2023-09-15,15.0,2023-08-24
2023-09-15,95.36,96.97,94.37,96.71,96.71,13811400.0,2023-09-18,2023-09-19,96.5,98.32,64.45,83.97,1.072347266881029,1593170.0,2.8021921207734466,75.0,80.0,wfrd,2023-09-15,3.0,2023-09-12
2023-09-15,50.92,53.77,50.69,52.24,52.24,3242400.0,2023-09-18,2023-09-19,52.13,53.0,45.53,46.31,1.3875196643943366,938880.0,3.5796324655436447,65.0,95.0,akro,2023-09-15,1.0,2023-09-14
2023-09-15,29.92,29.92,27.35,28.15,28.15,2535000.0,2023-09-18,2023-09-19,26.77,25.57,17.2,21.88,1.4891461649782922,2103960.0,4.795737122557727,68.0,95.0,mnso,2023-09-15,4.0,2023-09-11
2023-09-15,17.76,17.88,16.81,17.36,17.36,2196100.0,2023-09-18,2023-09-19,17.35,17.09,15.12,16.89,2.183157894736842,850310.0,4.435483870967742,53.0,30.0,etnb,2023-09-15,1.0,2023-09-14
2023-09-15,22.01,22.25,21.5,21.81,21.81,1365000.0,2023-09-18,2023-09-19,21.98,22.12,18.63,21.68,2.0793388429752064,1244100.0,4.493351673544246,51.0,50.0,imvt,2023-09-15,0.0,2023-09-15
2023-09-18,65.93,67.18,65.67,66.31,66.31,2591700.0,2023-09-19,2023-09-20,66.1,66.04,41.24,56.45,0.6300395256916997,3175770.0,3.2121851907706223,66.0,65.0,celh,2023-09-18,26.0,2023-08-10
2023-09-18,26.16,26.44,25.62,25.99,25.99,2873400.0,2023-09-19,2023-09-20,25.95,26.33,16.94,22.45,0.654296875,1768825.0,2.962677953058869,67.0,95.0,rely,2023-09-18,8.0,2023-09-06
2023-09-18,37.47,38.31,36.72,37.8,37.8,4100100.0,2023-09-19,2023-09-20,37.97,38.16,20.09,32.97,0.6589595375722543,5917635.0,4.17989417989418,61.0,45.0,vrt,2023-09-18,7.0,2023-09-07
2023-09-18,10.86,11.13,10.84,10.9,10.9,1190500.0,2023-09-19,2023-09-20,11.1,10.8,7.87,9.52,0.7566964285714284,2156050.0,3.0275229357798166,69.0,65.0,hlx,2023-09-18,13.0,2023-08-29
2023-09-18,20.89,21.42,20.88,21.18,21.18,10856600.0,2023-09-19,2023-09-20,21.29,20.53,14.89,18.72,0.7939759036144578,6760175.0,2.6912181303116145,69.0,65.0,fti,2023-09-18,16.0,2023-08-24
2023-09-18,96.5,98.22,96.1,97.39,97.39,1639400.0,2023-09-19,2023-09-20,98.32,94.13,64.72,84.52,1.0783558124598587,1651685.0,2.6902146010884076,76.0,60.0,wfrd,2023-09-18,4.0,2023-09-12
2023-09-18,52.13,52.7,50.78,52.25,52.25,1240800.0,2023-09-19,2023-09-20,53.0,51.11,45.57,46.48,1.372201978136387,972405.0,3.5406698564593304,65.0,70.0,akro,2023-09-18,2.0,2023-09-14
2023-09-18,26.77,27.24,25.84,26.57,26.57,2812600.0,2023-09-19,2023-09-20,25.57,25.85,17.28,22.07,1.5007235890014474,2206705.0,5.269100489273616,60.0,90.0,mnso,2023-09-18,5.0,2023-09-11
2023-09-18,21.98,22.46,21.32,21.94,21.94,1056400.0,2023-09-19,2023-09-20,22.12,21.89,18.68,21.74,2.0673234811165844,1235355.0,4.466727438468551,51.0,25.0,imvt,2023-09-18,1.0,2023-09-15
2023-09-18,56.88,57.57,56.38,57.17,57.17,1309900.0,2023-09-19,2023-09-20,56.68,56.35,42.63,52.68,1.1839139344262297,1499500.0,3.5508133636522645,59.0,85.0,edu,2023-09-18,0.0,2023-09-18
2023-09-19,66.1,66.92,65.28,65.96,65.96,2630100.0,2023-09-20,2023-09-21,66.04,59.41,41.38,56.77,0.6297755021662073,3127995.0,3.214069132807763,65.0,45.0,celh,2023-09-19,27.0,2023-08-10
2023-09-19,25.95,26.35,25.34,26.26,26.26,1132500.0,2023-09-20,2023-09-21,26.33,24.72,17.02,22.6,0.6637341153470184,1751825.0,2.9702970297029703,68.0,80.0,rely,2023-09-19,9.0,2023-09-06
