start,symbol,Start_Datum,Start_Open,Ende_Datum,Ende_Open,Close,Volume,days,profit,sum
2023-09-25,oii,2023-09-26,25.38,2023-10-04,24.47,25.64,1452100.0,5.0,-3.5855003940110333,-15.935023333055748
2023-09-25,dht,2023-09-26,10.07,2023-09-28,9.98,10.11,2610700.0,1.0,-0.8937437934458774,-16.828767126501624
2023-09-26,parr,2023-09-27,35.27,2023-10-02,36.0,34.67,1040300.0,2.0,2.069747660901607,-14.759019465600018
2023-09-26,imvt,2023-09-27,42.5,2023-10-02,38.64,39.96,35084900.0,2.0,-9.082352941176469,-23.841372406776486
2023-09-27,vist,2023-09-28,30.39,2023-09-29,31.36,30.33,1319600.0,0.0,3.191839420862122,-20.649532985914362
2023-09-27,roiv,2023-09-28,13.2,2023-10-03,10.41,13.19,16476100.0,2.0,-21.13636363636363,-41.78589662227799
2023-09-28,tdw,2023-09-29,72.5,2023-10-02,71.08,72.28,1059500.0,0.0,-1.9586206896551748,-43.744517311933166
2023-09-28,jbl,2023-09-29,126.96,2023-10-23,124.26,124.95,7087000.0,15.0,-2.126654064272203,-45.87117137620537
2023-09-29,fro,2023-10-02,18.6,2023-10-05,17.42,18.78,4328600.0,2.0,-6.344086021505374,-52.215257397710744
2023-09-29,vist,2023-10-02,30.23,2023-10-03,30.49,30.39,1571600.0,0.0,0.8600727753886801,-51.355184622322064
2023-09-29,hnrg,2023-10-02,14.45,2023-10-03,13.56,14.42,1262600.0,0.0,-6.159169550173002,-57.51435417249507
2023-10-02,xpo,2023-10-03,73.79,2023-10-10,78.68,73.43,2942200.0,4.0,6.626914216018431,-50.88743995647664
2023-10-02,lpg,2023-10-03,28.44,2023-10-04,26.35,28.74,1861000.0,0.0,-7.348804500703234,-58.23624445717987
2023-10-02,smci,2023-10-03,286.56,2023-10-04,273.95,288.86,3486600.0,0.0,-4.400474595198218,-62.63671905237809
2023-10-02,anf,2023-10-03,58.0,2023-10-23,60.69,58.31,2068100.0,13.0,4.6379310344827545,-57.998788017895336
2023-10-03,sfm,2023-10-04,41.81,2023-10-09,42.24,41.49,1698800.0,2.0,1.0284620904089925,-56.97032592748634
2023-10-03,sphr,2023-10-04,39.84,2023-10-05,40.56,39.89,1831400.0,0.0,1.8072289156626478,-55.163097011823695
2023-10-03,cwan,2023-10-04,19.12,2023-10-05,19.14,19.1,1014900.0,0.0,0.10460251046024881,-55.05849450136345
2023-10-03,ntnx,2023-10-04,34.45,2023-10-09,35.86,34.31,2257300.0,2.0,4.09288824383163,-50.96560625753182
2023-10-03,cls,2023-10-04,23.77,2023-10-23,25.74,23.7,1902800.0,12.0,8.287757677745052,-42.67784857978677
2023-10-03,cccs,2023-10-04,12.64,2023-10-05,12.71,12.64,2796400.0,0.0,0.5537974683544327,-42.12405111143234
2023-10-04,nuvl,2023-10-05,58.35,2023-10-09,61.94,57.51,6250800.0,1.0,6.15252784918594,-35.97152326224639
2023-10-04,smci,2023-10-05,279.65,2023-10-20,264.71,280.4,3093100.0,10.0,-5.34239227605936,-41.31391553830575
2023-10-04,pcar,2023-10-05,86.35,2023-10-10,87.6,86.67,3232600.0,2.0,1.447596988998263,-39.866318549307486
2023-10-04,flex,2023-10-05,20.0,2023-10-06,19.54,20.05,3645667.0,0.0,-2.3000000000000043,-42.16631854930749
2023-10-05,fro,2023-10-06,17.6,2023-10-23,20.8,18.69,9084300.0,10.0,18.181818181818176,-23.984500367489314
2023-10-06,rely,2023-10-09,26.73,2023-10-10,26.5,26.64,1060500.0,0.0,-0.8604564160119732,-24.84495678350129
